launch_year,n,real,tier
2017,12,26.268195169712794,PDF / digital
2018,13,25.641897677085865,PDF / digital
2019,20,24.027006653445824,PDF / digital
2020,22,24.878617987643494,PDF / digital
2021,21,23.762261504963647,PDF / digital
2022,6,27.501922058396406,PDF / digital
2023,10,24.650084968264075,PDF / digital
2024,30,26.1709734801029,PDF / digital
2025,28,29,PDF / digital
2018,5,57.412208898995246,Standard hardcover
2019,9,54.96744446660955,Standard hardcover
2020,9,56.64861315786423,Standard hardcover
2021,6,48.32055877034358,Standard hardcover
2023,4,55.47061555224448,Standard hardcover
2024,11,54.97957056192598,Standard hardcover
2025,9,59,Standard hardcover
2015,10,91.68604994578448,Deluxe / collector
2016,11,118.21670447111958,Deluxe / collector
2017,31,88.85217016155353,Deluxe / collector
2018,32,90.72744445594907,Deluxe / collector
2019,39,98.39991089623987,Deluxe / collector
2020,39,105.73412644748485,Deluxe / collector
2021,30,106.12225988116765,Deluxe / collector
2022,15,145.06713847362937,Deluxe / collector
2023,12,121.2165022710714,Deluxe / collector
2024,42,102.11811220667605,Deluxe / collector
2025,38,127.475,Deluxe / collector
